reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
2ac15ac5-c229-4083-8c2b-12d50f368eb3,Puran patel,https://play-lh.googleusercontent.com/a/ACg8ocJ431uKd2D7o5kuDqONF9ku7SrMdABJhBG785fckn1mxDCt7Q=mo,nice,5,3,361.0.0.46.88,2025-01-12 12:30:34,,,361.0.0.46.88
3ab12cf5-ee4e-4f24-8289-96be04a090b2,Rkpl creative 555,https://play-lh.googleusercontent.com/a/ACg8ocLRZB7fotfbV2W8uVJ3FnC_ZUAG_W2WcSqYZMImTr5pVvR5ig=mo,"Verry verry entertainment, and i like this app Instagram",5,3,362.0.0.33.241,2025-01-12 12:30:28,,,362.0.0.33.241
f2750238-c1af-4379-9e7a-f083363ebcb0,Anime Boy,https://play-lh.googleusercontent.com/a/ACg8ocI3lxx1gTv6L1U8AeS5sywHTzi8CkM754Y47DTMVAn98XFm6A=mo,Nice 🙂,5,3,,2025-01-12 12:30:18,,,
5e88ff73-a890-420a-8292-48595254f130,Ssegawa Henry,https://play-lh.googleusercontent.com/a/ACg8ocISx0z1kztHQ_eN35EmOhwsON0br2k0P10Io-sZdasHhEIjtg=mo,The best ever,5,3,362.0.0.33.241,2025-01-12 12:27:51,,,362.0.0.33.241
09007bb3-f951-4b0c-8e90-03d6663998c3,BITTU KUMAR,https://play-lh.googleusercontent.com/a-/ALV-UjUOWL1o8eys-rMcayGKbqY3qaXzp_yAaFIY2uerPDoxciMWJwCJ5g,Good,5,2,362.0.0.33.241,2025-01-12 12:27:40,,,362.0.0.33.241
06ae5bef-2f96-45cc-a16e-2238ceb262be,Nunui Renthlei,https://play-lh.googleusercontent.com/a/ACg8ocJx6q95xYnFPHx5KdAow9B6Sjh69WIbluMCmDQ7HpOlvCRUqw=mo,It's the best social media platform imo,5,5,189.0.0.41.121,2025-01-12 12:26:12,,,189.0.0.41.121
fec6adaa-6afe-460d-b7d3-d2c2b602857f,Vajira Perera,https://play-lh.googleusercontent.com/a/ACg8ocLUrHn6ivxvzl0uOiQ4brmy75anP31OdeldGQbiiwuMJvk_Vg=mo,Good,5,2,334.0.0.42.95,2025-01-12 12:24:46,,,334.0.0.42.95
2110ab96-b816-4fdf-b919-a90b8b220131,Suryakanta Kundu,https://play-lh.googleusercontent.com/a-/ALV-UjWK7zNSP23d--yGVlV217kpFByvRb6lA1wvzS8Nu37GnnMRkq4Z,Nice 👍,5,3,361.0.0.46.88,2025-01-12 12:24:45,,,361.0.0.46.88
62bc3ee1-3fc7-4d94-935d-c58986889165,Nikhil Salunkhe,https://play-lh.googleusercontent.com/a-/ALV-UjVLJh62iicRdlfbV07Q9YLc-0AIn0rA6hA6owlqg8JY-9LUwL_9,Very Good App,5,1,289.0.0.25.49,2025-01-12 12:24:40,,,289.0.0.25.49
26514fdf-a990-4347-bf2a-d6e4b9a67f7f,michael nyoni,https://play-lh.googleusercontent.com/a-/ALV-UjXxdbX-QKfEAKzbBkxO3RnWftcYoo9oh2_LIQoBR_OBy3-R6g1s,Verry good app and easy to use,5,4,333.0.0.42.91,2025-01-12 12:23:28,,,333.0.0.42.91
c718967f-22cb-4dbe-a4ca-847ce90856f6,Mahdi Naghiei,https://play-lh.googleusercontent.com/a-/ALV-UjVxYqXb9dW8Oh11nTwclP_nBGfUzntWn6VIieMsxxwMn_-FCEA,Good🩵🩵,5,1,362.0.0.33.241,2025-01-12 12:22:23,,,362.0.0.33.241
56af2e07-1409-480c-bdd7-7b2e6e235fc8,Bushra Azam,https://play-lh.googleusercontent.com/a/ACg8ocLF5UIMqQs16skHfWW96zzvVHODKLpImWzGFFOqWtWwPE01qQ=mo,Good,5,1,,2025-01-12 12:22:15,,,
768e72bb-ff89-4cd9-a5ba-31780d2fa679,Amar Bhati,https://play-lh.googleusercontent.com/a/ACg8ocI_RyF7qQFFyqE9KuERZsZUVJgEuyqBNhw2CP6dFT8k-9e_fQ=mo,Sahi h,5,0,,2025-01-12 12:21:54,,,
ccd29045-f40c-4cee-8e5c-1074f40a7642,AHMED HEKMAT,https://play-lh.googleusercontent.com/a-/ALV-UjUTwXsx1f2vQzXpsQnjAKIiAEWT3ETuBy9VHyeuJyIKpMzBk1i5,Very good,5,0,362.0.0.33.241,2025-01-12 12:21:27,,,362.0.0.33.241
a940ab73-f601-429b-8170-a86fb40bd37c,Joel d'souza,https://play-lh.googleusercontent.com/a/ACg8ocJNIA-erY-a4e1wKGFNfoCfvgdBcdOcgsk_kf4rQv2mn6YIAw=mo,Love this gram.,5,0,362.0.0.33.241,2025-01-12 12:20:38,,,362.0.0.33.241
2c8add16-e523-4d0c-83bf-960a438fa4ec,Aryan Raj,https://play-lh.googleusercontent.com/a/ACg8ocKHbDWIS1GSVOM60V-1EDoPncseJ7MlQg6u7JZSH3eY5HIZWQ=mo,Very nice app,5,0,362.0.0.33.241,2025-01-12 12:20:32,,,362.0.0.33.241
e0e9c567-7a0e-4714-a553-01826fa19e04,Aritri,https://play-lh.googleusercontent.com/a-/ALV-UjUO7eCFrUw_HCo-AjjRuFQfoO225X47D9kC2TAYHGcRBrOoL1y0,Good but then would be better if the followers nd following list would only show to the owner of the acc rather than everyone who follows even though it's a private acc,5,2,,2025-01-12 12:20:17,,,
52ebcee4-c65e-4aa9-996a-693c59184ca7,Yash Rajak,https://play-lh.googleusercontent.com/a/ACg8ocItC-w-PLFe27KQB-N3AsigjRuus0QjqE6Z54I25RobV1SnUQ=mo,Good,5,0,364.0.0.0.12,2025-01-12 12:20:13,,,364.0.0.0.12
